42, 1
43, 3
44, 5
45, 7
46, 9
47, 12
48, 15
49, 18
50, 21
51, 24
52, 27
53, 31
54, 35
55, 38
56, 42
57, 46
58, 50
59, 54
60, 58
61, 63
62, 67
63, 71
64, 76
65, 80
66, 85
67, 90
68, 95
69, 100
42, 1
43, 3
44, 5
45, 7
46, 9
47, 12
48, 15
49, 18
50, 21
51, 24
52, 27
53, 31
54, 35
55, 38
56, 42
57, 46
58, 50
59, 54
60, 58
61, 63
62, 67
63, 71
64, 76
65, 80
66, 85
67, 90
68, 95
69, 100
42, 1
43, 3
44, 5
45, 7
46, 9
47, 12
48, 15
49, 18
50, 21
51, 24
52, 27
53, 31
54, 35
55, 38
56, 42
57, 46
58, 50
59, 54
60, 58
61, 63
62, 67
63, 71
64, 76
65, 80
66, 85
67, 90
68, 95
69, 100
